step, l1_err, l2_err, li_err, l1_rel, l2_rel, li_rel, learning_rate, time_train, time_mc
0, 232.908934, 232.928044, 249.305954, 0.998174, 0.998174, 1.003611, 0.001000, 0.859201, 1.713163
10000, 223.378661, 223.379979, 230.670715, 0.957484, 0.957557, 0.992631, 0.001000, 30.188989, 2.936567
20000, 213.418192, 213.419272, 217.863556, 0.914794, 0.914865, 0.954381, 0.001000, 31.035520, 1.519037
30000, 203.536444, 203.537499, 207.332855, 0.872434, 0.872504, 0.913488, 0.001000, 27.796557, 1.543716
40000, 193.578880, 193.579741, 197.125717, 0.829755, 0.829822, 0.872275, 0.001000, 28.411280, 1.537350
50000, 183.605632, 183.606406, 186.661758, 0.787005, 0.787067, 0.828432, 0.001000, 28.887740, 1.585884
60000, 173.581519, 173.582299, 176.628265, 0.744036, 0.744095, 0.785205, 0.001000, 30.590661, 2.436502
70000, 163.618999, 163.619780, 166.673660, 0.701332, 0.701389, 0.738707, 0.001000, 32.674129, 3.603491
80000, 153.722207, 153.722962, 156.667526, 0.658908, 0.658958, 0.692895, 0.001000, 32.099109, 2.968464
90000, 143.788268, 143.789048, 146.559387, 0.616332, 0.616382, 0.651847, 0.001000, 32.717580, 2.636157
100000, 133.923374, 133.924173, 136.805206, 0.574044, 0.574091, 0.605899, 0.001000, 32.493415, 3.730908
110000, 123.986421, 123.987298, 127.009834, 0.531455, 0.531498, 0.561741, 0.001000, 33.160299, 3.290787
120000, 114.073563, 114.074468, 117.076782, 0.488960, 0.489000, 0.515453, 0.001000, 33.766068, 2.960319
130000, 104.167239, 104.168238, 107.066856, 0.446503, 0.446542, 0.475322, 0.001000, 32.675372, 2.118647
140000, 94.316221, 94.317187, 96.890137, 0.404275, 0.404308, 0.427900, 0.001000, 34.062920, 3.291194
150000, 84.327836, 84.329007, 87.124390, 0.361462, 0.361493, 0.386336, 0.001000, 33.224782, 3.081689
160000, 74.322278, 74.323630, 77.091476, 0.318572, 0.318601, 0.339622, 0.001000, 32.476937, 2.384436
170000, 64.470000, 64.471461, 67.013260, 0.276342, 0.276369, 0.294247, 0.001000, 32.892833, 2.126112
180000, 54.680886, 54.682637, 57.471481, 0.234376, 0.234395, 0.248902, 0.001000, 32.348300, 2.212179
190000, 44.956418, 44.958415, 47.780060, 0.192698, 0.192720, 0.207311, 0.001000, 32.117200, 2.399085
200000, 35.209365, 35.212137, 37.895416, 0.150924, 0.150951, 0.166284, 0.001000, 32.480215, 2.943328
210000, 25.463629, 25.467059, 27.987045, 0.109148, 0.109171, 0.122222, 0.001000, 32.150801, 2.841658
220000, 15.880343, 15.885726, 18.432129, 0.068066, 0.068091, 0.078100, 0.001000, 32.737891, 3.183443
230000, 6.748278, 6.760426, 9.175430, 0.028925, 0.028979, 0.039136, 0.001000, 32.522261, 2.529442
240000, 0.321049, 0.405182, 2.465225, 0.001376, 0.001735, 0.010549, 0.001000, 31.452147, 1.907729
250000, 0.324567, 0.408975, 2.595306, 0.001391, 0.001751, 0.011136, 0.001000, 32.220505, 2.694520
260000, 0.265873, 0.334055, 2.076767, 0.001140, 0.001432, 0.008869, 0.000100, 32.962754, 3.233919
270000, 0.256938, 0.323057, 2.037369, 0.001101, 0.001385, 0.008582, 0.000100, 33.615050, 3.031138
280000, 0.252315, 0.316434, 2.134659, 0.001082, 0.001357, 0.008996, 0.000100, 33.701056, 3.220266
290000, 0.246604, 0.310497, 2.322342, 0.001057, 0.001331, 0.009602, 0.000100, 32.589397, 3.545719
300000, 0.240571, 0.302419, 1.998199, 0.001031, 0.001297, 0.008625, 0.000100, 33.439628, 3.041557
310000, 0.238849, 0.299934, 2.053207, 0.001024, 0.001286, 0.008789, 0.000100, 34.015707, 3.381875
320000, 0.233521, 0.293942, 1.926987, 0.001001, 0.001260, 0.008093, 0.000100, 33.455050, 3.672007
